Id,BatteryMinKWh,BatteryMaxKWh,InitialChargerID,InitialStartTime,InitialSOC,ChargingSpeedVolts,ChargingSpeedAmps,NumberPlate,OdometerReading,OdometerLastMaintenance,InRotation,Cost,kwh_per_km
0,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A0,89668,89494,0,5000,0.92
1,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A1,253267,252800,0,5000,0.96
2,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A2,290249,289663,0,5000,0.97
3,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A3,293486,293313,0,5000,0.97
4,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A4,107139,106708,0,5000,0.92
5,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A5,59880,59483,0,5000,0.91
6,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E0,291459,291228,0,15000,1.22
7,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E1,75405,74489,0,15000,1.17
8,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E2,112948,112683,0,15000,1.17
9,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E3,138419,137906,0,15000,1.18
10,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E4,277506,277244,0,15000,1.21
11,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E5,277614,277291,0,15000,1.21
12,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E6,214394,213942,0,15000,1.2
13,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E7,245165,245004,0,15000,1.21
14,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E8,161506,161109,0,15000,1.19
15,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E9,197367,197043,0,15000,1.2
16,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E10,61770,61280,0,15000,1.16
17,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E11,199777,199517,0,15000,1.2
18,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E12,210289,209746,0,15000,1.2
19,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E13,256659,256076,0,15000,1.21
20,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E14,286165,285327,0,15000,1.22
21,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E15,26396,26238,0,15000,1.15
22,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E16,124553,123828,0,15000,1.18
23,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E17,155804,155275,0,15000,1.19
24,38,250,2,2024-05-01 00:00:00+00:00,38,600,250,A6,40070,39540,0,5000,0.91
25,38,250,2,2024-05-01 00:00:00+00:00,38,600,250,A7,251393,250809,0,5000,0.96
26,38,250,2,2024-05-01 00:00:00+00:00,38,600,250,A8,75581,74665,0,5000,0.92
27,38,250,2,2024-05-01 00:00:00+00:00,38,600,250,A9,78879,78514,0,5000,0.92
28,38,250,2,2024-05-01 00:00:00+00:00,38,600,250,A10,292192,292023,0,5000,0.97
29,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D0,25311,24563,0,10000,1.11
30,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D1,148118,147989,0,10000,1.14
31,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D2,296527,296248,0,10000,1.18
32,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D3,70331,69332,0,10000,1.12
33,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D4,78836,77900,0,10000,1.13
34,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D5,129105,128941,0,10000,1.14
35,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D6,285844,285116,0,10000,1.18
36,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D7,66105,66041,0,10000,1.12
37,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D8,66936,66701,0,10000,1.12
38,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D9,85080,84719,0,10000,1.13
39,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D10,206873,206585,0,10000,1.16
40,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D11,15188,14714,0,10000,1.11
41,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D12,115552,115123,0,10000,1.14
42,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D13,113305,112629,0,10000,1.13
