FromLocationsId,ToLocationId,Duration,Distance
0,0,0,0
0,1,0,0
0,2,480,5
0,3,5700,100
0,4,5280,106
0,5,,
0,6,10620,219
0,7,,
1,0,0,0
1,1,0,0
1,2,480,5
1,3,,
1,4,,
1,5,,
1,6,,
1,7,,
2,0,480,5
2,1,480,5
2,2,0,0
2,3,,
2,4,,
2,5,,
2,6,,
2,7,,
3,0,5700,91
3,1,,
3,2,,
3,3,0,0
3,4,,
3,5,,
3,6,,
3,7,,
4,0,5400,106
4,1,,
4,2,,
4,3,,
4,4,0,0
4,5,0,0
4,6,10140,167
4,7,,
5,0,,
5,1,,
5,2,,
5,3,,
5,4,0,0
5,5,0,0
5,6,,
5,7,,
6,0,10620,219
6,1,,
6,2,,
6,3,,
6,4,10260,168
6,5,,
6,6,0,0
6,7,480,5
7,0,,
7,1,,
7,2,,
7,3,,
7,4,,
7,5,,
7,6,480,5
7,7,0,0
