Id,BatteryMinKWh,BatteryMaxKWh,InitialChargerID,InitialStartTime,InitialSOC,ChargingSpeedVolts,ChargingSpeedAmps,NumberPlate,OdometerReading,OdometerLastMaintenance,InRotation,Cost,kwh_per_km
0,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A0,89668,89494,0,5000,0.92
1,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A1,253267,252800,0,5000,0.96
2,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A2,290249,289663,0,5000,0.97
3,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A3,293486,293313,0,5000,0.97
4,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A4,107139,106708,0,5000,0.92
5,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A5,59880,59483,0,5000,0.91
6,42,281,0,2024-05-01 00:00:00+00:00,42,600,200,B0,291459,291228,0,6000,0.94
7,42,281,1,2024-05-01 00:00:00+00:00,42,600,200,B1,75405,74489,0,6000,0.89
8,42,281,0,2024-05-01 00:00:00+00:00,42,600,200,B2,112948,112683,0,6000,0.89
9,42,281,1,2024-05-01 00:00:00+00:00,42,600,200,B3,138419,137906,0,6000,0.9
10,42,281,0,2024-05-01 00:00:00+00:00,42,600,200,B4,277506,277244,0,6000,0.93
11,42,281,1,2024-05-01 00:00:00+00:00,42,600,200,B5,277614,277291,0,6000,0.93
