VehicleID,StartLocationID,EndLocationID,StartTime,EndTime,BatteryChange,SoC,DistanceLastMaintenance,Type
0,1,1,2024-05-01 00:00:00+0000,2024-05-01 00:00:00+0000,0,38,174,START_SCHEDULE
0,1,1,2024-05-01 04:16:00+0000,2024-05-01 04:16:00+0000,0,38,174,OUT_OF_ROTATION
0,1,1,2024-05-01 04:16:00+0000,2024-05-01 04:16:00+0000,0,38,174,DEADLEG
0,1,1,2024-05-01 05:45:00+0000,2024-05-01 05:50:00+0000,0,38,174,PUT_ON_CHARGE
0,1,1,2024-05-01 05:50:00+0000,2024-05-01 07:00:00+0000,0,213,174,CHARGING
0,1,1,2024-05-01 07:00:00+0000,2024-05-01 07:05:00+0000,0,213,174,TAKE_OFF_CHARGE
0,1,0,2024-05-01 07:05:00+0000,2024-05-01 07:05:00+0000,0,213,174,DEADLEG
0,0,3,2024-05-01 07:09:00+0000,2024-05-01 08:44:00+0000,0,121,274,TRIP
0,3,3,2024-05-01 08:44:00+0000,2024-05-01 08:44:00+0000,0,121,274,DEADLEG
0,3,0,2024-05-01 08:59:00+0000,2024-05-01 10:34:00+0000,0,38,365,TRIP
0,0,1,2024-05-01 10:34:00+0000,2024-05-01 10:34:00+0000,0,38,365,DEADLEG
0,1,1,2024-05-01 12:30:00+0000,2024-05-01 12:35:00+0000,0,38,365,PUT_ON_CHARGE
0,1,1,2024-05-01 12:35:00+0000,2024-05-01 13:45:00+0000,0,213,365,CHARGING
0,1,1,2024-05-01 13:45:00+0000,2024-05-01 13:50:00+0000,0,213,365,TAKE_OFF_CHARGE
0,1,0,2024-05-01 13:50:00+0000,2024-05-01 13:50:00+0000,0,213,365,DEADLEG
0,0,3,2024-05-01 13:54:00+0000,2024-05-01 15:29:00+0000,0,121,465,TRIP
0,3,3,2024-05-01 15:29:00+0000,2024-05-01 15:29:00+0000,0,121,465,DEADLEG
0,3,0,2024-05-01 15:44:00+0000,2024-05-01 17:19:00+0000,0,38,556,TRIP
0,0,1,2024-05-01 17:19:00+0000,2024-05-01 17:19:00+0000,0,38,556,DEADLEG
0,1,1,2024-05-01 22:16:00+0000,2024-05-01 22:16:00+0000,0,38,556,OUT_OF_ROTATION
0,1,1,2024-05-01 22:16:00+0000,2024-05-01 22:16:00+0000,0,38,556,DEADLEG
0,1,1,2024-05-01 23:40:00+0000,2024-05-01 23:45:00+0000,0,38,556,PUT_ON_CHARGE
0,1,1,2024-05-01 23:45:00+0000,2024-05-02 01:00:00+0000,0,225,556,CHARGING
0,1,1,2024-05-02 01:00:00+0000,2024-05-02 01:05:00+0000,0,225,556,TAKE_OFF_CHARGE
0,1,0,2024-05-02 01:05:00+0000,2024-05-02 01:05:00+0000,0,225,556,DEADLEG
0,0,3,2024-05-02 01:09:00+0000,2024-05-02 02:44:00+0000,0,133,656,TRIP
0,3,3,2024-05-02 02:44:00+0000,2024-05-02 02:44:00+0000,0,133,656,DEADLEG
0,3,0,2024-05-02 02:59:00+0000,2024-05-02 04:34:00+0000,0,50,747,TRIP
0,0,2,2024-05-02 04:34:00+0000,2024-05-02 04:42:00+0000,0,46,752,DEADLEG
0,2,2,2024-05-02 06:00:00+0000,2024-05-02 08:40:00+0000,0,46,0,MAINTENANCE
0,2,1,2024-05-02 08:40:00+0000,2024-05-02 08:48:00+0000,0,42,5,DEADLEG
0,1,1,2024-05-02 10:15:00+0000,2024-05-02 10:20:00+0000,0,42,5,PUT_ON_CHARGE
0,1,1,2024-05-02 10:20:00+0000,2024-05-02 11:30:00+0000,0,217,5,CHARGING
0,1,1,2024-05-02 11:30:00+0000,2024-05-02 11:35:00+0000,0,217,5,TAKE_OFF_CHARGE
0,1,0,2024-05-02 11:35:00+0000,2024-05-02 11:35:00+0000,0,217,5,DEADLEG
0,0,3,2024-05-02 11:39:00+0000,2024-05-02 13:14:00+0000,0,125,105,TRIP
0,3,3,2024-05-02 13:14:00+0000,2024-05-02 13:14:00+0000,0,125,105,DEADLEG
0,3,0,2024-05-02 13:29:00+0000,2024-05-02 15:04:00+0000,0,42,196,TRIP
0,0,1,2024-05-02 15:04:00+0000,2024-05-02 15:04:00+0000,0,42,196,DEADLEG
0,1,1,2024-05-02 16:18:00+0000,2024-05-02 16:18:00+0000,0,42,196,OUT_OF_ROTATION
0,1,1,2024-05-02 16:18:00+0000,2024-05-02 16:18:00+0000,0,42,196,DEADLEG
0,1,1,2024-05-02 17:00:00+0000,2024-05-02 17:05:00+0000,0,42,196,PUT_ON_CHARGE
0,1,1,2024-05-02 17:05:00+0000,2024-05-02 18:15:00+0000,0,217,196,CHARGING
0,1,1,2024-05-02 18:15:00+0000,2024-05-02 18:20:00+0000,0,217,196,TAKE_OFF_CHARGE
0,1,0,2024-05-02 18:20:00+0000,2024-05-02 18:20:00+0000,0,217,196,DEADLEG
0,0,3,2024-05-02 18:24:00+0000,2024-05-02 19:59:00+0000,0,125,296,TRIP
0,3,3,2024-05-02 19:59:00+0000,2024-05-02 19:59:00+0000,0,125,296,DEADLEG
0,3,0,2024-05-02 20:14:00+0000,2024-05-02 21:49:00+0000,0,42,387,TRIP
0,0,1,2024-05-02 21:49:00+0000,2024-05-02 21:49:00+0000,0,42,387,DEADLEG
0,1,1,2024-05-02 23:40:00+0000,2024-05-02 23:45:00+0000,0,42,387,PUT_ON_CHARGE
0,1,1,2024-05-02 23:45:00+0000,2024-05-03 01:00:00+0000,0,229,387,CHARGING
0,1,1,2024-05-03 01:00:00+0000,2024-05-03 01:05:00+0000,0,229,387,TAKE_OFF_CHARGE
0,1,0,2024-05-03 01:05:00+0000,2024-05-03 01:05:00+0000,0,229,387,DEADLEG
0,0,3,2024-05-03 01:09:00+0000,2024-05-03 02:44:00+0000,0,137,487,TRIP
0,3,3,2024-05-03 02:44:00+0000,2024-05-03 02:44:00+0000,0,137,487,DEADLEG
0,3,0,2024-05-03 02:59:00+0000,2024-05-03 04:34:00+0000,0,54,578,TRIP
0,0,2,2024-05-03 04:34:00+0000,2024-05-03 04:42:00+0000,0,50,583,DEADLEG
0,2,2,2024-05-03 06:00:00+0000,2024-05-03 08:40:00+0000,0,50,0,MAINTENANCE
0,2,1,2024-05-03 08:40:00+0000,2024-05-03 08:48:00+0000,0,46,5,DEADLEG
0,1,1,2024-05-03 10:15:00+0000,2024-05-03 10:20:00+0000,0,46,5,PUT_ON_CHARGE
0,1,1,2024-05-03 10:20:00+0000,2024-05-03 11:30:00+0000,0,221,5,CHARGING
0,1,1,2024-05-03 11:30:00+0000,2024-05-03 11:35:00+0000,0,221,5,TAKE_OFF_CHARGE
0,1,0,2024-05-03 11:35:00+0000,2024-05-03 11:35:00+0000,0,221,5,DEADLEG
0,0,3,2024-05-03 11:39:00+0000,2024-05-03 13:14:00+0000,0,129,105,TRIP
0,3,3,2024-05-03 13:14:00+0000,2024-05-03 13:14:00+0000,0,129,105,DEADLEG
0,3,0,2024-05-03 13:29:00+0000,2024-05-03 15:04:00+0000,0,46,196,TRIP
0,0,1,2024-05-03 15:04:00+0000,2024-05-03 15:04:00+0000,0,46,196,DEADLEG
