Id,StartTime,EndTime,MaintenanceLocationID,VehicleId
0,2024-04-30 06:00:00+00:00,2024-04-30 08:40:00+00:00,2,
1,2024-04-30 09:20:00+00:00,2024-04-30 12:00:00+00:00,2,
2,2024-04-30 12:40:00+00:00,2024-04-30 15:20:00+00:00,2,
3,2024-04-30 16:00:00+00:00,2024-04-30 18:40:00+00:00,2,
4,2024-05-01 06:00:00+00:00,2024-05-01 08:40:00+00:00,2,
5,2024-05-01 09:20:00+00:00,2024-05-01 12:00:00+00:00,2,
6,2024-05-01 12:40:00+00:00,2024-05-01 15:20:00+00:00,2,
7,2024-05-01 16:00:00+00:00,2024-05-01 18:40:00+00:00,2,
8,2024-05-02 06:00:00+00:00,2024-05-02 08:40:00+00:00,2,
9,2024-05-02 09:20:00+00:00,2024-05-02 12:00:00+00:00,2,
10,2024-05-02 12:40:00+00:00,2024-05-02 15:20:00+00:00,2,
11,2024-05-02 16:00:00+00:00,2024-05-02 18:40:00+00:00,2,
12,2024-05-03 06:00:00+00:00,2024-05-03 08:40:00+00:00,2,
13,2024-05-03 09:20:00+00:00,2024-05-03 12:00:00+00:00,2,
14,2024-05-03 12:40:00+00:00,2024-05-03 15:20:00+00:00,2,
15,2024-05-03 16:00:00+00:00,2024-05-03 18:40:00+00:00,2,
16,2024-05-04 06:00:00+00:00,2024-05-04 08:40:00+00:00,2,
17,2024-05-04 09:20:00+00:00,2024-05-04 12:00:00+00:00,2,
18,2024-05-04 12:40:00+00:00,2024-05-04 15:20:00+00:00,2,
19,2024-05-04 16:00:00+00:00,2024-05-04 18:40:00+00:00,2,
20,2024-05-05 06:00:00+00:00,2024-05-05 08:40:00+00:00,2,
21,2024-05-05 09:20:00+00:00,2024-05-05 12:00:00+00:00,2,
22,2024-05-05 12:40:00+00:00,2024-05-05 15:20:00+00:00,2,
23,2024-05-05 16:00:00+00:00,2024-05-05 18:40:00+00:00,2,
24,2024-05-06 06:00:00+00:00,2024-05-06 08:40:00+00:00,2,
25,2024-05-06 09:20:00+00:00,2024-05-06 12:00:00+00:00,2,
26,2024-05-06 12:40:00+00:00,2024-05-06 15:20:00+00:00,2,
27,2024-05-06 16:00:00+00:00,2024-05-06 18:40:00+00:00,2,
28,2024-05-07 06:00:00+00:00,2024-05-07 08:40:00+00:00,2,
29,2024-05-07 09:20:00+00:00,2024-05-07 12:00:00+00:00,2,
30,2024-05-07 12:40:00+00:00,2024-05-07 15:20:00+00:00,2,
31,2024-05-07 16:00:00+00:00,2024-05-07 18:40:00+00:00,2,
32,2024-05-08 06:00:00+00:00,2024-05-08 08:40:00+00:00,2,
33,2024-05-08 09:20:00+00:00,2024-05-08 12:00:00+00:00,2,
34,2024-05-08 12:40:00+00:00,2024-05-08 15:20:00+00:00,2,
35,2024-05-08 16:00:00+00:00,2024-05-08 18:40:00+00:00,2,
